geometry_type,surface_area,volume,frontal_area,length,width,height,rear_wing_angle,slant_angle,velocity,reynolds,drag,lift
cylinder,1.64,1.789,0.201,1.785,0.658,0.2,0.0,0.0,32.31,3804311,0.29716,-0.00204
cylinder,3.717,1.336,0.972,2.283,0.62,0.295,0.0,0.0,42.39,6383666,0.28716,0.02026
airfoil,1.014,0.086,0.08,1.317,1.427,0.125,0.0,10.9,65.27,5670224,0.02626,1.20101
suv,12.326,6.689,2.766,4.487,2.053,1.75,0.0,6.7,41.18,12188302,0.38826,0.18225
fsae,6.779,0.867,1.115,3.767,1.337,1.14,19.2,3.9,32.21,8003633,0.83551,-2.2537
sedan,10.98,3.111,2.15,4.761,1.767,1.375,1.0,17.8,41.64,13077047,0.23472,0.23828
truck,45.5,40.354,7.788,9.756,2.408,3.759,0.0,1.2,31.97,20573834,0.70734,0.08032
fsae,6.4,1.586,1.412,3.449,1.418,1.282,32.7,3.5,15.03,3419424,0.93367,-2.85825
sphere,1.019,2.993,0.573,0.854,1.367,1.265,0.0,0.0,27.49,1548579,0.09922,0.00982
suv,15.57,4.317,2.739,4.786,1.869,1.846,2.6,1.7,29.01,9158434,0.36495,0.14857
sedan,11.184,4.153,2.159,4.562,1.693,1.315,1.7,13.2,30.99,9325619,0.26031,0.17625
airfoil,0.618,0.251,0.066,1.473,1.774,0.206,0.0,11.6,51.62,5015584,0.03936,1.29135
airfoil,2.219,0.133,0.181,0.869,0.87,0.144,0.0,8.7,48.66,2789284,0.01355,1.00012
ahmed_body,3.967,0.994,0.09,1.067,0.419,0.315,0.0,15.3,50.3,3540244,0.25721,0.06399
fsae,8.158,1.588,1.551,4.337,1.36,1.256,21.2,3.4,31.6,9040185,0.91583,-2.40761
sphere,10.507,4.102,2.853,1.122,1.18,1.268,0.0,0.0,45.43,3362299,0.0983,0.00432
fsae,6.459,1.375,1.488,4.349,1.615,1.082,33.7,2.9,31.59,9062329,0.96468,-2.90932
wedge,2.894,0.298,0.498,1.772,0.772,0.395,0.0,29.7,29.42,3438802,0.58812,0.20432
cylinder,1.21,0.25,1.016,2.589,0.725,0.399,0.0,0.0,44.39,7580852,0.2945,-0.00345
sedan,10.011,3.922,2.29,4.299,1.659,1.393,1.9,13.8,32.11,9105600,0.25566,0.1695
cylinder,6.443,2.389,1.545,2.447,0.951,0.544,0.0,0.0,46.15,7449146,0.29298,0.00037
sphere,10.428,2.294,1.082,0.626,0.747,1.324,0.0,0.0,37.85,1562935,0.09896,-0.01297
cylinder,2.865,0.612,1.539,2.094,0.358,0.509,0.0,0.0,8.51,1175458,0.30264,0.00029
truck,32.657,40.146,7.501,10.502,2.44,3.844,0.0,3.6,29.67,20553716,0.68098,0.10349
sedan,12.899,2.989,2.237,4.279,1.801,1.331,3.5,13.1,45.34,12797484,0.25946,0.21742
cylinder,7.223,0.794,1.867,1.797,0.847,0.243,0.0,0.0,7.78,922207,0.29896,0.01973
sedan,8.152,3.715,2.348,4.84,1.661,1.459,3.6,11.1,46.86,14960580,0.25755,0.20672
wedge,3.446,0.253,0.879,2.086,0.31,0.515,0.0,35.3,35.91,4941178,0.6537,0.23581
wedge,5.829,0.727,0.255,1.115,0.87,0.891,0.0,19.1,35.35,2599951,0.48238,0.15657
suv,12.968,4.013,3.042,4.862,1.962,1.629,1.7,0.3,39.5,12668140,0.37615,0.17901
sphere,8.094,3.381,0.963,0.172,0.931,1.05,0.0,0.0,16.29,184821,0.43061,0.0104
airfoil,2.311,0.054,0.106,1.156,1.145,0.191,0.0,11.7,65.87,5022805,0.0428,1.33023
ahmed_body,4.297,0.828,0.091,1.053,0.387,0.3,0.0,20.5,37.35,2594297,0.27584,0.07276
flat_plate,5.757,0.045,2.645,0.033,1.4,0.539,0.0,0.0,24.04,52330,1.27917,0.00095
sedan,11.974,4.209,2.389,4.859,1.638,1.348,3.5,17.6,38.47,12330193,0.24658,0.22245
fsae,6.608,0.98,1.175,4.256,1.625,1.248,34.0,3.4,48.82,13705668,0.93691,-2.77621
ahmed_body,4.766,0.89,0.089,1.2,0.366,0.273,0.0,14.0,40.19,3181266,0.25476,0.05559
wedge,4.466,0.371,0.902,1.176,0.812,0.294,0.0,35.2,28.65,2222454,0.64031,0.21752
sphere,8.941,1.58,0.859,1.191,1.311,0.463,0.0,0.0,20.64,1621520,0.09596,0.0058
fsae,6.753,1.562,1.238,3.887,1.411,1.246,15.9,3.5,20.5,5256168,0.86356,-2.15807
sphere,2.904,3.693,2.639,0.915,1.379,1.038,0.0,0.0,25.66,1548740,0.09641,0.02352
sphere,4.35,2.873,1.837,1.226,0.513,1.486,0.0,0.0,28.28,2287024,0.09879,0.00897
cylinder,4.68,1.832,0.97,1.884,0.31,0.765,0.0,0.0,44.81,5568736,0.29203,0.01552
sphere,6.965,2.308,0.875,0.176,1.098,0.742,0.0,0.0,21.04,244264,0.4517,-0.00433
sedan,8.68,2.83,2.034,4.397,1.605,1.323,4.9,11.7,40.89,11859718,0.25089,0.21829
fsae,7.788,1.434,1.409,3.823,1.622,1.065,40.3,0.2,45.58,11494218,0.9981,-3.15068
cylinder,4.697,0.326,1.611,1.832,0.593,0.686,0.0,0.0,8.35,1009050,0.30415,0.01669
ahmed_body,4.738,0.752,0.097,1.078,0.399,0.26,0.0,37.7,36.28,2579805,0.34706,0.12114
airfoil,2.757,0.357,0.118,0.771,0.308,0.159,0.0,2.0,42.64,2168565,0.00633,0.21032
ahmed_body,4.421,0.882,0.09,1.111,0.408,0.259,0.0,17.4,30.91,2265238,0.26526,0.06383
sedan,12.868,4.451,2.375,4.832,1.783,1.329,1.7,16.3,29.35,9354828,0.26,0.19505
sedan,10.872,2.792,2.203,4.207,1.856,1.398,3.2,18.3,34.12,9468525,0.30515,0.2069
sphere,9.372,0.379,0.177,0.951,1.387,1.457,0.0,0.0,5.39,338119,0.3736,-0.00796
cylinder,2.186,2.717,0.431,1.94,0.71,0.867,0.0,0.0,21.76,2784591,0.29461,-0.00289
ahmed_body,4.042,0.731,0.109,1.019,0.377,0.292,0.0,30.5,35.71,2400296,0.32087,0.0881
sphere,8.109,2.58,2.588,1.159,0.881,0.113,0.0,0.0,30.77,2352403,0.10084,0.00319
ahmed_body,3.884,0.754,0.09,1.173,0.37,0.276,0.0,29.0,54.21,4194481,0.30875,0.10788
ahmed_body,4.327,0.713,0.095,1.021,0.415,0.29,0.0,10.6,29.71,2000918,0.26574,0.06002
ahmed_body,3.633,0.695,0.082,1.044,0.379,0.311,0.0,6.1,27.82,1915836,0.26638,0.04177
suv,13.291,5.921,2.554,4.749,1.967,1.885,2.3,1.7,40.57,12708900,0.3659,0.16316
wedge,4.689,0.922,0.296,1.103,0.683,0.795,0.0,32.4,31.6,2299129,0.59835,0.21701
sedan,9.838,2.925,1.85,4.862,1.607,1.369,2.0,16.8,35.83,11491125,0.24754,0.20634
cylinder,7.074,1.446,1.657,0.548,0.891,0.546,0.0,0.0,6.36,229900,1.12049,0.00303
suv,17.835,4.167,3.052,4.99,1.874,1.603,2.1,7.2,28.7,9446768,0.36299,0.13541
sedan,11.528,4.221,2.167,4.504,1.776,1.415,0.7,11.4,39.36,11693763,0.26624,0.19931
truck,53.978,34.67,6.204,13.189,2.501,3.874,0.0,4.3,32.61,28370270,0.70589,0.05857
cylinder,5.904,0.182,1.018,1.859,0.424,0.759,0.0,0.0,10.06,1233611,0.30587,0.03106
fsae,6.265,1.545,1.583,3.214,1.529,1.071,35.7,4.9,30.84,6538243,0.95745,-2.94133
sedan,12.883,2.981,1.902,4.431,1.673,1.4,1.9,13.8,31.69,9262427,0.25579,0.16452
sedan,10.043,3.2,2.22,4.077,1.761,1.318,1.0,18.0,33.49,9006513,0.23778,0.20275
truck,48.242,29.673,7.008,10.624,2.505,3.679,0.0,1.7,21.97,15396391,0.71445,0.06268
sedan,9.007,3.846,2.219,4.308,1.848,1.408,1.4,11.2,21.92,6228982,0.26181,0.12019
wedge,2.539,1.615,0.525,1.027,0.715,0.673,0.0,59.9,19.65,1331171,0.88999,0.35565
sedan,11.081,2.609,2.208,4.824,1.812,1.408,1.0,18.5,47.25,15035224,0.30114,0.27286
wedge,5.874,1.642,0.306,1.483,0.998,0.42,0.0,29.6,35.45,3467833,0.59674,0.19619
suv,12.639,4.789,2.671,4.792,1.98,1.724,2.7,9.7,30.91,9770496,0.37722,0.15966
flat_plate,3.412,0.021,0.441,0.05,0.968,1.116,0.0,0.0,33.37,110059,1.21233,0.00322
sedan,8.904,3.182,1.831,4.889,1.751,1.416,0.5,18.9,47.02,15163640,0.29495,0.25172
sedan,12.287,3.015,2.122,4.122,1.773,1.472,2.7,17.0,38.68,10517082,0.24951,0.23014
sphere,5.766,2.443,2.799,0.706,0.59,0.398,0.0,0.0,17.85,831273,0.10008,0.0007
sphere,7.872,0.487,0.183,0.302,1.168,0.468,0.0,0.0,22.7,452203,0.18616,0.002
fsae,6.634,1.129,1.467,3.337,1.576,1.103,32.6,2.5,25.23,5553596,0.95675,-2.71648
suv,14.794,4.72,3.181,5.052,1.959,1.871,1.2,0.0,34.23,11406989,0.36623,0.1677
suv,16.414,5.861,3.198,4.523,1.981,1.872,2.3,7.3,44.02,13133408,0.36601,0.19827
fsae,7.354,1.026,1.244,4.21,1.506,1.229,39.4,3.9,23.9,6637137,1.00711,-2.98761
suv,17.373,5.301,2.844,5.19,1.909,1.766,2.0,8.3,35.99,12321115,0.38255,0.16831
ahmed_body,4.312,0.934,0.108,0.989,0.411,0.279,0.0,6.2,47.19,3078556,0.26094,0.04748
sedan,10.375,2.63,2.145,4.01,1.789,1.346,3.3,18.2,45.69,12085547,0.29978,0.25232
flat_plate,5.149,0.017,1.812,0.027,1.751,1.976,0.0,0.0,9.54,16991,1.23791,-0.00152
wedge,5.546,1.31,1.356,1.576,1.409,0.534,0.0,25.1,19.75,2053166,0.52764,0.18338
sphere,3.238,1.755,2.949,0.608,1.099,0.106,0.0,0.0,35.51,1424148,0.10093,-0.01463
suv,16.703,5.211,2.819,5.036,2.026,1.744,1.0,1.0,32.81,10899153,0.37199,0.15996
sphere,1.672,4.56,1.814,0.574,1.388,0.204,0.0,0.0,7.18,271855,0.46477,-0.00393
ahmed_body,3.694,0.636,0.11,1.196,0.371,0.293,0.0,19.9,23.2,1830290,0.27155,0.08592
sedan,9.263,4.075,1.849,4.474,1.664,1.3,1.0,10.9,21.59,6371613,0.27025,0.12152
wedge,4.026,0.315,0.254,0.54,0.627,0.243,0.0,18.8,47.65,1697296,0.47299,0.1581
suv,14.192,4.089,2.532,4.436,1.985,1.657,2.3,0.6,25.65,7505501,0.37632,0.1464
suv,16.793,5.048,2.96,5.154,2.039,1.723,0.0,0.4,38.83,13201175,0.36912,0.19187
airfoil,1.585,0.409,0.053,1.295,1.681,0.154,0.0,7.4,33.48,2859934,0.0114,0.85456
sphere,6.249,2.747,1.19,0.271,0.254,0.754,0.0,0.0,19.28,344649,0.36348,-0.00266
fsae,7.575,1.455,1.594,4.492,1.311,1.092,24.7,1.4,38.04,11271483,0.93043,-2.56328
fsae,5.811,0.827,1.133,3.536,1.69,1.031,41.4,1.3,29.22,6815430,0.94001,-3.23001
suv,16.488,5.653,2.573,5.197,1.892,1.675,0.7,7.2,42.6,14603707,0.37557,0.20125
sedan,8.401,3.554,1.982,4.886,1.789,1.4,3.4,13.7,48.36,15586211,0.26573,0.24093
ahmed_body,4.328,0.68,0.084,1.142,0.389,0.287,0.0,39.1,31.19,2349537,0.34885,0.1204
truck,47.373,39.832,8.994,15.074,2.563,3.9,0.0,3.4,29.94,29770156,0.73965,0.06324
airfoil,0.514,0.11,0.047,1.943,1.62,0.055,0.0,7.8,69.24,8874230,0.01238,0.88521
flat_plate,2.244,0.017,0.574,0.012,1.73,0.503,0.0,0.0,29.31,23201,1.21534,0.02478
suv,15.12,5.372,2.758,4.818,1.882,1.676,1.8,2.3,43.03,13675365,0.36249,0.20637
